date,text
25-09-2015,blockchain time traveling  one man s journey to  prove his existence
26-09-2015,bitcoin bank acceptance spotlight  citi
27-09-2015,bitfury s georgian technology park to create new jobs
28-09-2015,how to invest with binary options
29-09-2015,please keep us in mind for next time
30-09-2015,big thanks to   for being one of the first to test out our amazing new advertising platform
01-10-2015,an interview with bitproof creator louison dumont
02-10-2015,joystream allows users to sell bandwidth for bitcoin
03-10-2015,emerging from the dark ages  the journey of bitcoin and the blockchain
04-10-2015,the role of blockchain technology in freedom of speech
05-10-2015,bitcoin bank acceptance spotlight  de nederlandsche bank
06-10-2015,the first russian language bitcoin documentary
07-10-2015,reddit launches  upvoted  news site  bitcoin not welcome
08-10-2015,bitmarkets  peer to peer party escrow and open source marketplace
09-10-2015,san diego s new ocean beach bitcoin atm
10-10-2015,starbucks customers can now choose between bitcoin or apple pay
11-10-2015,bitcoin and 2015  the final countdown
12-10-2015,is blockchain technology the future of two factor authentication
13-10-2015,decentralized  fintech exchange  openledger launches today
14-10-2015,the role of bitcoin in mobile e commerce
15-10-2015,taking the  bit  out of bitcoin
16-10-2015,the power of crowdfunding  you can learn from russians
17-10-2015,behavioral analytics can provide insights into bitcoin adoption
18-10-2015,bitcoin payment terminals vs bitcoin atms  which is more convenient
19-10-2015,the  undocumented human   life without government
20-10-2015,coinimal adds paypal to crypto to fiat services
21-10-2015,need a bitcoin price calculator   we have a great one at
26-10-2015,how do we prepare society for the digital age
27-10-2015,authorities going after fantasy sports gambling  blockchain to step in
28-10-2015,hive wins fintech americas hackathon and  10 000 prize for innovative platform
29-10-2015,commoncollection  social and technical activism
30-10-2015,bitfilm festival 2015  vote for your favorite bitcoin movie
31-10-2015,the blockchain is revolutionizing the innovation of ideas
01-11-2015,stricter pre paid debit card regulation to affect bitcoin companies
02-11-2015,the encryption cold war  government vs internet
03-11-2015,the bitcoin shuttle is boarding  bitcoin price reaches new highs
04-11-2015,how restaurants like waffle house could accept bitcoin today
05-11-2015,exec director of the bitcoin foundation has announced on our forum that he is starting his own startup
06-11-2015,how bitcoin can alter our psychology
07-11-2015,how to identify transaction malleability attacks
08-11-2015,lots of great q amp a sessions with the most interesting people in bitcoin     btcama
09-11-2015,how bitcoin is like a psychedelic drug
10-11-2015,satoshi nakamoto to be nominated for the 2016 nobel prize
11-11-2015,neither fiat currency nor bitcoin are free from volatility
12-11-2015,is doing a live ama session right now  for one hour only at
13-11-2015,did you ever want to ask the ceo of a major bitcoin company a question  you still can thanks to the ongoing  btcama
14-11-2015,what would satoshi say to traditional businesses integrating blockchain technology
15-11-2015,delta business management enables bitcoin investments in gatwick airport car parking
16-11-2015,nasdaq to introduce blockchain technology to estonian settling and clearing business
17-11-2015,spells of genesis early beta access now available
18-11-2015,3 websites for bitcoin paying freelance jobs
19-11-2015,bitcoin community leads relief effort for mariana flood victims
20-11-2015,a cashless society is economic apartheid  without bitcoin
21-11-2015,european union seeking to ban bitcoin in aftermath of the paris terrorist attacks
22-11-2015,bitcoin 2 0  currency nxt reveals plans for 2016
23-11-2015,gaming on the blockchain  the transition to decentralized play systems
24-11-2015,how to explain bitcoin to your family this thanksgiving
25-11-2015,death note incentive system  can revolutionize decentralized anonymous marketplaces
26-11-2015,ama  tuur demeester  economist  amp  investor  editor in chief at adamant research  10am cst
27-11-2015,can a privately regulated public blockchain boost bitcoin s legitimacy
28-11-2015,open letters to ross ulbricht  a true libertarian hero
29-11-2015,bitcoin  amp  line social messaging app  the future of m commerce
30-11-2015,building on ramps for the bitcoin ecosystem
01-12-2015,the  20 million stock market  nxt asset exchange
02-12-2015,the impact of instant sepa transfers on european bitcoin exchanges
03-12-2015,sec officially indicts gaw miners ceo for  hashlet  ponzi scheme
04-12-2015,the hitchhikers guide to the invisible internet
05-12-2015,the  facebook of latin america  taringa  just paid  76 000 in bitcoin to its users
06-12-2015,will be hosting video soon
07-12-2015,india s mobile internet boom is paving the way to a bitcoin economy
08-12-2015,bitcoin protects users against financial social engineering attacks
09-12-2015,the segregated witness concept  a  turning point  for bitcoin
10-12-2015,craig sellars is building  whatever you can imagine on a magic ledger
11-12-2015,iot startup  the ethereum computer is going to change everything
12-12-2015,blockchain agenda event seoul wrap up
13-12-2015,ukranian national bank confirms interest in integrating bitcoin
14-12-2015,mycelium swish let s you order food from a billboard with bitcoin
15-12-2015,code to inspire  connecting afghan women to the global economy
16-12-2015,crypto counseling  smart contracts in psychotherapy  part 1  theory
17-12-2015,13 ways to donate bitcoin this holiday season
18-12-2015,happy birthday  btcpop
19-12-2015,andreas antonopoulos  the case against reputation and identity systems
20-12-2015,knowledge miners  bitcoin s next early adopters
21-12-2015,free state says bitcoin prohibition headlines were  misleading
22-12-2015,ask anything today from wu jihan bitmain co founder on      bitcoin
23-12-2015,chasing the mythical  blockchain without bitcoin
24-12-2015,enigma   keeping data completely private
25-12-2015,big banks leave thousands unbanked in new york city  bitcoin can help
26-12-2015,addressing paypal one touch security concerns with blockchain technology
27-12-2015,after christmas bitcoin s price now bearish
28-12-2015,taiwan s economic woes can be a boon for bitcoin  amp  the blockchain
29-12-2015,blockchain technology is today s best defense against database leaks
30-12-2015,the internet of therapy should incorporate bitcoin
31-12-2015,nasdaq s blockchain based linq issues chain shares
01-01-2016,magspoof  insecure plastic cards show why the world needs bitcoin
02-01-2016,bitcoin in india   the best form of money the human race has ever experienced
03-01-2016,the block size drama continues into 2016 as new arguments emerge
04-01-2016,the decentralized marketplace  bitcoin s next killer app
05-01-2016,lithuania shows  serious intentions  in blockchain innovation
06-01-2016,politicians  amp  banks helped bitcoin beat all sovereign currencies in 2015
07-01-2016,coinimal partners with amazon to let users spend bitcoin
08-01-2016,ask anything from charles allen on the the   forum
09-01-2016,fintech investment booms despite china economy fears
10-01-2016,bitcoin s impressive year visualized in 9 graphs
11-01-2016,ebay can stop fraud overnight using the blockchain
12-01-2016,central banks  failed policies are strengthening bitcoin
13-01-2016,emercoin   setting the new standard for top blockchains
14-01-2016,dash powered soda machine to debut at miami bitcoin conference
15-01-2016,don t expect innovation from a bank s imagination
16-01-2016,encryption s fate uncertain as new york  amp  france take public stances
17-01-2016,lottery for the poor  bitcoin for the rich
18-01-2016,4 platforms that believe the future is decentralized
19-01-2016,spells of genesis in game currency bitcrystals surges after monthly burning
20-01-2016,bitsquare  the  missing link  for decentralized bitcoin exchange
21-01-2016,prepaid debit cards can shield you against bitcoin price volatility
22-01-2016,blythe masters  firm to build asx blockchain  raises  52 million
23-01-2016,the bretton woods white paper review
24-01-2016,are bitcoin classic developers receiving threats from  r bitcoin mods
25-01-2016,rutgers bitcoin study  an  ideal  system misunderstood by the public
26-01-2016,bitmine apps wins first prize at miami s bitcoin hackathon
27-01-2016,cannabis security firm goes bitcoin to solve industry s banking problem
28-01-2016,bank of america reserves its spot in the cryptocurrency race
29-01-2016,the emotions  amp  memes of the bitcoin community  transmission  52
30-01-2016,the 2016 bitcoin voting guide
31-01-2016,bitcoin ama  zooko wilcox  ceo of zcash  the  privacy preserving  variant of bitcoin
01-02-2016,bitcoin s moment  draftkings  amp  fanduel lose major payout provider
02-02-2016,mozilla s co founder on his  brave  new bitcoin powered browser
03-02-2016,p2p lending regulation looms as china s ezubao ponzi scheme unravels
04-02-2016,these 3 online multiplayer video games are embracing bitcoin
05-02-2016,coin reverse scam offering premium rates for your bitcoins
06-02-2016,visa to test microtransactions with new developer platform
07-02-2016,keybase  file sharing with bitcoin blockchain encryption
08-02-2016,plutus  bitcoin s  apple pay  app with ethereum smart contracts  amp  rebates
09-02-2016,how to escape  pharma bros   amp  government  imbeciles  with bitcoin
10-02-2016,counterparty supports segwit  adds blocktrail cto to team
11-02-2016,bitcoin s biggest names come together warning of  contentious hard forks
12-02-2016,new payment methods revolution  inevitable    uk report
13-02-2016,surfing astronomy s gravitational waves  amp   data tsunami  with the bitcoin blockchain
14-02-2016,jaxx  the new fleet of bitcoin  amp  ethereum wallets
17-02-2016,bitcoin summer school has been announced in one of the countries that needs bitcoin most  greece
18-02-2016,world s first virtual nation constitution released on ethereum s blockchain
19-02-2016,chainalysis raises  1 6m  partners with europol following hospital ransom fiasco
20-02-2016,imogen heap wants to decentralize the music industry with ethereum
21-02-2016,barclays   blockchain could be the most significant innovation to impact africa in 100
22-02-2016,the 6 major hurdles for blockchain adoption
23-02-2016,crowdfunding miners  the speed lane to bitcoin classic activation
24-02-2016,cash is literally crappy compared to bitcoin  study finds
25-02-2016,e coin rebrands to wirex  2 way bitcoin debit card announced
26-02-2016,free ross to host  the trial i saw  artwork fundraiser
27-02-2016,bnp paribas  last bank to utter  bitcoin  by name
28-02-2016,pax  an ethereum powered virtual nation
29-02-2016,open bitcoin privacy project s top 5 wallets of 2016
01-03-2016,german blockchain survey  68  foresee  negative consequences  for banks
02-03-2016,openbazaar releases public test version with real purchases
03-03-2016,r3 cev  40 major banks just tested the blockchain
04-03-2016,ulbricht defense fund gets help from t shirt company
05-03-2016,ubitquity releases  revolutionary  blockchain real estate platform
06-03-2016,paypal bitcoin parody creator joins   team
08-03-2016,digital currency regulation  what you should know
09-03-2016,bitcoin classic 0 12 0 paves way for the future
10-03-2016,cross platform malware droppers threaten bitcoin users
11-03-2016,coinigy brings new trading tools to vaultoro users
12-03-2016,truffle  a new development environment for ethereum coders
13-03-2016,obama asks for middle ground with encryption
14-03-2016,over 1 in 3 nodes now support bitcoin classic as core remains flat
15-03-2016,augur launches prediction market beta testing
16-03-2016,pwc report  blockchain illiteracy could hurt banks
17-03-2016,blockchain technology will not replace copyright offices just yet
18-03-2016,ukraine startup hotmine builds smart bitcoin miner
19-03-2016,should you use a russian branded browser
20-03-2016,bitcoin and ethereum  the crypto experiment rolls on
21-03-2016,barclays will  help  you prove your identity to uk gov t
22-03-2016,russian firm tries and fails to patent  bitcoin  trademark
23-03-2016,is code valley bitcoin s  killer app
24-03-2016,100 000 locations worldwide now accept bitcoin with bitit gift cards
25-03-2016,another hospital paralyzed by bitcoin ransomware
26-03-2016,shake enables bitcoin nfc payments
27-03-2016,dear ross ulbricht   roger ver
28-03-2016,dear ross ulbricht  the next ten years
29-03-2016,disney is looking for a blockchain intern
30-03-2016,africa blockchain survey  enthusiasm amid uncertainty
31-03-2016,bitquick plans to reopen shortly as refund process is almost complete
01-04-2016,mozilla co founder unveils  brave ledger  with bitcoin micropayments
02-04-2016,caribbean startup bitt receives  4 million
03-04-2016,the bitcoin halving doomsday scenario
04-04-2016,pre ordering the tesla model 3 with bitcoin
05-04-2016,a review of openbazaar s first day
06-04-2016,these 3 platforms are bringing bitcoin to social messaging apps
07-04-2016,the social wallet  global financial services with no fees for life
08-04-2016,coinwallet forced to shut down after data breach
09-04-2016,new bitcoin core update rolls out various changes
10-04-2016,storj launches in beta  added to microsoft azure
11-04-2016,digix  gold backed ethereum smart contracts for all
12-04-2016,global blockchain forum launched to establish  international industry best practices
13-04-2016,mit becomes transaction validator for ripple consensus ledger
14-04-2016,europeans can now get a bitcoin salary  save their boss money
15-04-2016,datt rebrands to  yours  with trustless btc micropayments
16-04-2016,bitcoin exchanges reveal  real  usd cny rates  says bobby lee
17-04-2016,coincheck taking bitcoin donations for japan earthquake victims
18-04-2016,iosco warns investors on crowdfunding  amp  bitcoin risks
19-04-2016,venezuelan psychologist relies on skype sessions  amp  bitcoin
20-04-2016,tim draper s 2018 bitcoin price prediction still unlikely two years later
21-04-2016,cryptxxx crypto ransomware steals bitcoins from affected users
22-04-2016,gaming platform steam to introduce bitcoin payments
23-04-2016,vaultoro seeks additional funding to tackle euro market
24-04-2016,the need to end bitcoin discrimination
25-04-2016,blockchain based heal bonds help fund hiv research
26-04-2016,flip p2p lease marketplace uses tierion blockchain solution
27-04-2016,blockchain powered stem raises 4 5 million to disrupt music industry
28-04-2016,western union invests in barry silbert s dcg
29-04-2016,elephant  an ethereum based platform that s ready for mainstream
30-04-2016,banking on friendship  p2p lending credible friends platform launches
01-05-2016,piggy  ank  the physical bitcoin wallet
02-05-2016,states why he thinks craig wright is unlikely to be satoshi nakamoto at  consensus2016
03-05-2016,bitcoin 2016     there has been an awakening
04-05-2016,konrad s  graf  the bitcoin block size political economy
05-05-2016,the ethereum dao has already raised  18 million
06-05-2016,huobi ceo  pboc s digital currency  design ideas  differ from bitcoin
07-05-2016,is the bitcoin community being too harsh on gavin andresen
08-05-2016,fbi contracted former tor developer to create torsploit malware
09-05-2016,vitalik buterin  keep classic  core separate to satisfy community
10-05-2016,new yorkers tout blockchain at libertarian party convention
11-05-2016,bitcoin  money as a bill of rights
12-05-2016,china  bitcoin banks  mines  myths and realities
13-05-2016,announces private blockchain integration
14-05-2016,childish personal attacks are damaging the bitcoin industry
15-05-2016,bitcoin is  459   ethereum is  10  check them all with   io s great price app
16-05-2016,is bitcoin a true anti war currency
17-05-2016,denmark s ccedk to cease trading  reopen as finance incubator
18-05-2016,swift hacked again  are centralized networks failing
19-05-2016,good samaritan hacker  johoe  to develop new trezor for satoshilabs
20-05-2016,decentralized uber  arcade city   we will submit a dao proposal
21-05-2016,this guy lost  67 000 in bitcoin when he upgraded his computer
22-05-2016,new experiment allows you to play monopoly on the blockchain
23-05-2016,peter todd distances himself from bitcoin foundation politics
24-05-2016,overstock  bitcoin s in our dna  rumors  erroneous
25-05-2016,the q1 state of bitcoin 2016 is positive
26-05-2016,bitland  blockchain land registry against  corrupt government
27-05-2016,bitlicense strikes again  monetago shuts down
28-05-2016,prescrypt brings medical prescriptions to the blockchain
29-05-2016,guinea pig  money laundering case may decide bitcoin s legal status
30-05-2016,bitcoin s appeal rises as chinese wallet apps will now check id
31-05-2016,no license for paypal in turkey  45  say bitcoin  the future
01-06-2016,blockstack to help microsoft develop a global id platform
02-06-2016,decentralized crowdfunder waves launches following  16m ico
03-06-2016,bitfinex   business as usual  following  75k us fine
04-06-2016,new fintech australia ceo pursues future of blockchain
05-06-2016,bitcoin bonus program gets ukrainians interested in crypto
06-06-2016,richard stallman s gnu releases  unlike bitcoin  electronic payments
07-06-2016,bitcoin foundation has a few months left  recent gift not enough
08-06-2016,dennis gartman calls bitcoin the  millennial answer to gold
09-06-2016,city of austin fails to shut down arcade city app launch event
10-06-2016,circle favors more regulation for bitcoin  amp  fintech
11-06-2016,21 inc open sources bitcoin computer software library
12-06-2016,walmart drops visa  proving the potential of bitcoin s low fees
13-06-2016,bankers lie about disruption  don t understand technology
14-06-2016,pwc to study blockchain technology for wholesale insurance
15-06-2016,eu s biggest insurer allianz successfully tests smart contracts
16-06-2016,asia poised to explode with fintech  blockchain growth
17-06-2016,don tapscott  almost  gets the bitcoin revolution
18-06-2016,central banks indirectly shape bitcoin disruption with bad policy
19-06-2016,blockchain is the next line of defense for cyber security
20-06-2016,ethereum miners back buterin s soft fork
21-06-2016,euroclear announces new blockchain based gold settlement
22-06-2016,latest bitcoin price is  621 89 usd
23-06-2016,new fcc rules could block your e wallet
24-06-2016,meet bewp  the bitcoin enabled wifi portal
25-06-2016,gold surges  bitcoin holds strong in brexit aftermath
26-06-2016,unconfirmed transactions  support  amp  open dialogue
27-06-2016,bitcoin is not a safe haven and that s ok
28-06-2016,time for russia  to ban bans  says putin business advisor
29-06-2016,princeton university unveils new bitcoin texbook
30-06-2016,otc trading  an inside look at how whales move bitcoin
01-07-2016,terminator rumors of miner mutiny make  corexit  a trending topic
02-07-2016,crooked agent caught again  lyn ulbricht speaks out
03-07-2016,latest bitcoin price is  676 12 usd
04-07-2016,tech consultant giant  blockchain  integral to mid east digital economy
05-07-2016,netki raises  3 5 million to  humanize  bitcoin
06-07-2016,dci event encourages gender  racial diversity in blockchain space
07-07-2016,bitcoin startup among first finalists in new paypal incubator
08-07-2016,bitfury introduces  flare  routing solution for lightning network
09-07-2016,the bitcoin halving is upon us  excitement at all time highs
10-07-2016,latest bitcoin price is  646 01 usd
11-07-2016,blockchain innovation announces the release of the simple  fast  and secure bitteller atm
12-07-2016,storj  amp  counterparty testing instant micropayments channel
13-07-2016,we wonder if             amp    already knew about this
14-07-2016,the inside scoop on mark karpeles japanese prison release
15-07-2016,professor to sec  bitcoin funds  like a penny stock or ponzi
16-07-2016,ethereum s hard fork is a lesson for the bitcoin community
17-07-2016,bitcrystals price soars as spells of genesis nears launch
18-07-2016,india s law enforcement probes dark net markets
19-07-2016,podcast  simon dixon talks p2p lending
20-07-2016,bank of england  digital currency can raise gdp  by almost 3
21-07-2016,blockchain in finance and management fields  fintech and govtech cases at blockchain
22-07-2016,100m  blockchain fund  launched to fast track smaller eu banks
23-07-2016,civic s  1 million identity fraud protection
24-07-2016,ethereum hard fork gives birth to a new  classic  coin
25-07-2016,david seaman  ethereum classic  little more than troll vaporware
26-07-2016,will donald trump s trade policies cause bitcoin to soar
27-07-2016,bitcoin  whales  vote in favor of larger tx blocks
28-07-2016,bitcoin is the ideal portfolio asset
29-07-2016,why  glockchain  could hold police accountable  curb violence
30-07-2016,berlin s jolocom takes iot data sharing to the masses
31-07-2016,ledger nano s review  can this  65 device top trezor
01-08-2016,what does jewish traditional law think of bitcoin
02-08-2016,14nm chips will  re decentralize  mining  says antonopoulos
03-08-2016,fintech is destabilizing finance  former bank head warns
04-08-2016,bitcoin price rebounds as bitfinex licks wounds
05-08-2016,infamous crypto scammer ryan kennedy is now a convicted rapist
06-08-2016,is bitcoin ready for the next global financial crisis
07-08-2016,here s why bitfinex is not like mtgox
08-08-2016,president trump would stop new financial regulation in the us
09-08-2016,btc foundation calls to halt  california bitlicense  onslaught
10-08-2016,a  99 trezor could have prevented the  70m bitfinex theft
11-08-2016,barry silbert used  biased  strategy to pump etc  says reporter
12-08-2016,purse releases open source wallet code for  philosophical reasons
13-08-2016,polls  iceland s pro bitcoin pirate party to take power
14-08-2016,the wealthiest serving congressman just bought his first bitcoin
15-08-2016,denver hosts 2nd annual crypto cannabis conference
16-08-2016,tether launches  euro coin  trading on the bitcoin blockchain
17-08-2016,california  bitlicense  dropped for now
18-08-2016,japan risks falling behind amid blockchain talent shortage
19-08-2016,trumpcoin is real  but will it make crypto great again
20-08-2016,bitcoin unlimited  reveals  500k donation  formal us registration
21-08-2016,the  bitcoin family  one year later
22-08-2016,is the nsa baiting the shadow brokers with seized bitcoin
23-08-2016,price watch  bulls about to charge
24-08-2016,kazakhstan warms towards bitcoin as local currency freefalls
25-08-2016,legal identity for all  can bitcoin s blockchain rise to the challenge
26-08-2016,is facebook about to get  myspaced  by next gen social media
27-08-2016,bitmain s r4 to bring an in home experience to bitcoin mining
28-08-2016,fed explores radical new financial engineering tools
29-08-2016,is leading the way in cryptocurrency gambling
30-08-2016,bitcoin is the fuel we need for the industrial internet of things
31-08-2016,swift to expose bank security flaws following new hacks
01-09-2016,brave browser finally unleashes bitcoin micropayments
02-09-2016,russia s innopolis city to host first blockchain hackathon
03-09-2016,overcoming blockchain implementation challenges
04-09-2016,the world s 6th biggest mining pool tests bitcoin unlimited
05-09-2016,fbi s deep web child porn ring questions role of gov t in society
06-09-2016,blockchain will transform the agriculture industry
07-09-2016,spells of genesis  on the cusp of mainstream success
08-09-2016,launches bitcoin games  provably fair  high stakes
09-09-2016,wanda group joins hyperledger to create new blockchain standards
10-09-2016,malware alert  hackers stealing computing power to mine monero
11-09-2016,accenture exec says bitcoin immutability is a flaw  not a virtue
12-09-2016,straits financial accepts bitcoin payments for us futures
13-09-2016,pwc  blockchains could save reinsurance industry  10 billion
14-09-2016,facebook allows in app payments to messenger chat bots
15-09-2016,kpmg collaborates with microsoft to offer blockchain services
16-09-2016,self driving cars don t need uber  they need digital cash
17-09-2016,openbazaar 2 0 now running tor network
18-09-2016,zcoin launching soon  promises full  untraceable anonymity
19-09-2016,ibm tests smart contract prototype with mitsubishi ufj
20-09-2016,facebook killer  synereo raises  2m in first six hours of crowdsale
21-09-2016,microsoft unveils roadmap for  bletchley  blockchain project
22-09-2016,bitcoin  a legitimate cure for a broken money system
23-09-2016,sberbank ceo warns russian gov t  hands off the blockchain
24-09-2016,chicago students get free btc for educational purposes
25-09-2016,a decentralized world has no kings
26-09-2016,paraleln  polis preps for this year s hackers congress
27-09-2016,kenya bank stops m pesa loans following legislation update
28-09-2016,andresen  ethereum won t replace bitcoin  but it s more decentralized
29-09-2016,spain wants to tax bitcoin miners 47
30-09-2016,ibm  65  of world s major banks to use blockchain by 2019
01-10-2016,power of the meme  how bitcoin breaks the snail pace of tech innovation
02-10-2016,ico fever  how crowdsales are taking over cryptocurrency
03-10-2016,bitcoin liberation  reject the plastic card and embrace innovation
04-10-2016,russia  south africa join to develop blockchain tech
05-10-2016,dutch real estate firm  blandlord  to sell property with bitcoin blockchain
06-10-2016,china s bitcoin capital flight ramps up as fintech innovation progresses
07-10-2016,polish gov t  highly interested  in bitcoin  meets with local community
08-10-2016,mining pool hits milestone  gaining 1  global hashrate
09-10-2016,three years after ulbricht s arrest  judges re examine silk road case
10-10-2016,scaling bitcoin milan  a recap of the conference s scalability discussions
11-10-2016,signatura opens authentication with bitcoin to the public
12-10-2016,monero  the ups and downs of an anonymous currency
13-10-2016,satoshi forest permit application denied by government officials again
14-10-2016,ethereum to hard fork two more times following recent attacks
15-10-2016,these two firms will monitor permissionless blockchains
16-10-2016,zcoin commits to monthly donations to ross ulbricht defense
17-10-2016,bitpay offers financial services to rt following bank account freeze
18-10-2016,ransomware fines could cost uk business  122bn
19-10-2016,ecb to eu  tighter regulations  less anonymity on digital currencies
20-10-2016,we ve created a telegram channel to display the news headlines we publish all day  every day  click here to join now
21-10-2016,arcade city publicly reveals white paper  amp  ico details
22-10-2016,dutch hackathon looks at blockchain energy solutions
23-10-2016,pwc  blockchain will drive holiday season logistics
24-10-2016,bitcoin and its blockchain are driving the solar energy boom
25-10-2016,disney reveals dragonchain  an interoperable ledger
26-10-2016,onecoin style russian ponzi mmm global targets kenya
27-10-2016,stash launches  bank in a box  bitcoin full node
28-10-2016,mit launches blockcerts certification using bitcoin
29-10-2016,shapeshift adds zcash support as zec markets go wild
30-10-2016,storj partners with heroku as marketplace add on
31-10-2016,no bitcoin treasure island yet as iceland s pirate party falls short
01-11-2016,circle s bitcoin services now available in spain  amp  ireland
02-11-2016,blockchain based ripple ceo chris larsen steps down
03-11-2016,chronobank launch website ahead of december crowdfunding campaign
04-11-2016,third blockchain project joins hyperledger incubator
05-11-2016,suchflex turns idle computing power into an incentivized network
06-11-2016,jaxx partners with rootstock to unify the blockchain ecosystem
07-11-2016,china s first online insurance firm starts blockchain r amp d
08-11-2016,the fca is testing bitcoin cross border transactions
09-11-2016,leading indian bitcoin startup unocoin releases api
10-11-2016,adds widgets  tools  and a voting platform
11-11-2016,fbi releases  primer  successfully infiltrating darknets
12-11-2016,south korean bank creates cross border bitcoin service
13-11-2016,bitcoin can be a blessing for the legal pot business
14-11-2016,bitcoin mining intensifies during q4 of 2016
15-11-2016,memphis residents now have their first bitcoin atm
16-11-2016,blockchain  amp  coinify partner offering in wallet purchasing
17-11-2016,bitnation introduces smart love  a blockchain marriage application
18-11-2016,bitcoin s price value eyes more gains
19-11-2016,living room of satoshi expands service adding dash
20-11-2016,do bitcoin and chinese yuan values correlate
21-11-2016,revolutionizing un and humanitarian operations with bitgive s givetrack
22-11-2016,ubs executive  bank has several blockchain pilots
23-11-2016,satoshilabs gives the public a trezor 2 update
24-11-2016,korea steadily becoming a cryptocurrency and fintech hub
25-11-2016,canaan io reveals the avalonminer 721 roq solid
